key,name,pos,team,bye,std,half_ppr,ppr
dowdle_RB_PIT,Rico Dowdle,RB,PIT,9,,,77.6
seahawks_DST_SEA,Seahawks,DST,SEA,11,,,79.7
fannin_TE_CLE,Harold Fannin Jr.,TE,CLE,11,,,83.1
dobbins_RB_DEN,J.K. Dobbins,RB,DEN,10,,,85.2
daniels_QB_WSH,Jayden Daniels,QB,WSH,7,,,85.8
robinson_WR_TEN,Wan'Dale Robinson,WR,TEN,9,,,87.2
broncos_DST_DEN,Broncos,DST,DEN,10,,,88.6
purdy_QB_SF,Brock Purdy,QB,SF,8,,,88.7
meyers_WR_JAX,Jakobi Meyers,WR,JAX,7,,,92.1
brooks_RB_CAR,Jonathon Brooks,RB,CAR,5,,,93.9
harvey_RB_DEN,RJ Harvey,RB,DEN,10,,,94.7
shakir_WR_BUF,Khalil Shakir,WR,BUF,7,,,95.1
monangai_RB_CHI,Kyle Monangai,RB,CHI,10,,,104.5
doubs_WR_NE,Romeo Doubs,WR,NE,11,,,107.1
myers_K_SEA,Jason Myers,K,SEA,11,,,110.0
samuel_WR_SF,Deebo Samuel Sr.,WR,SF,8,,,112.9
coker_WR_CAR,Jalen Coker,WR,CAR,5,,,116.6
eagles_DST_PHI,Eagles,DST,PHI,10,,,117.4
dicker_K_LAC,Cameron Dicker,K,LAC,7,,,123.4
lions_DST_DET,Lions,DST,DET,6,,,123.6
vikings_DST_MIN,Vikings,DST,MIN,6,,,126.1
goedert_TE_PHI,Dallas Goedert,TE,PHI,10,,,127.6
tucker_WR_LV,Tre Tucker,WR,LV,13,,,132.6
chargers_DST_LAC,Chargers,DST,LAC,7,,,133.2
spears_RB_TEN,Tyjae Spears,RB,TEN,9,,,135.1
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,8,,,135.2
mevis_K_LAR,Harrison Mevis,K,LAR,11,,,135.6
henry_TE_NE,Hunter Henry,TE,NE,11,,,136.8
patriots_DST_NE,Patriots,DST,NE,11,,,137.8
andrews_TE_BAL,Mark Andrews,TE,BAL,13,,,138.6
bates_K_DET,Jake Bates,K,DET,6,,,139.5
shough_QB_NO,Tyler Shough,QB,NO,8,,,141.9
ferguson_TE_DAL,Jake Ferguson,TE,DAL,14,,,142.9
nailor_WR_LV,Jalen Nailor,WR,LV,13,,,143.0
washington_WR_MIA,Malik Washington,WR,MIA,6,,,143.4
reichard_K_MIN,Will Reichard,K,MIN,6,,,143.6
jaguars_DST_JAX,Jaguars,DST,JAX,7,,,143.7
darnold_QB_SEA,Sam Darnold,QB,SEA,11,,,144.0
kamara_RB_NO,Alvin Kamara,RB,NO,8,,,145.2
coleman_RB_DEN,Jonah Coleman,RB,DEN,10,,,145.9
boston_WR_CLE,Denzel Boston,WR,CLE,11,,,146.5
ers_DST_SF,49ers,DST,SF,8,,,147.7
mcpherson_K_CIN,Evan McPherson,K,CIN,6,,,152.4
allgeier_RB_ARI,Tyler Allgeier,RB,ARI,14,,,155.0
little_K_JAX,Cam Little,K,JAX,7,,,155.0
pieiro_K_SF,Eddy Piñeiro,K,SF,8,,,155.1
stroud_QB_HOU,C.J. Stroud,QB,HOU,8,,,155.2
douglas_WR_MIA,Caleb Douglas,WR,MIA,6,,,156.1
boswell_K_PIT,Chris Boswell,K,PIT,9,,,156.5
tyson_WR_NO,Jordyn Tyson,WR,NO,8,,,157.2
rodriguez_RB_JAX,Chris Rodriguez Jr.,RB,JAX,7,,,157.9
johnson_TE_NO,Juwan Johnson,TE,NO,8,,,158.0
willis_QB_MIA,Malik Willis,QB,MIA,6,,,159.1
wicks_WR_PHI,Dontayvion Wicks,WR,PHI,10,,,160.4
jennings_WR_MIN,Jauan Jennings,WR,MIN,6,,,161.5
titans_DST_TEN,Titans,DST,TEN,9,,,162.2
black_RB_SF,Kaelon Black,RB,SF,8,,,163.9
hunter_WR_JAX,Travis Hunter,WR,JAX,7,,,164.0
lutz_K_DEN,Wil Lutz,K,DEN,10,,,166.8
loop_K_BAL,Tyler Loop,K,BAL,13,,,168.0
ravens_DST_BAL,Ravens,DST,BAL,13,,,168.1
jones_QB_IND,Daniel Jones,QB,IND,13,,,171.0
falcons_DST_ATL,Falcons,DST,ATL,11,,,172.9
browns_DST_CLE,Browns,DST,CLE,11,,,178.9
