key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
irving_RB_TB,Bucky Irving,RB,TB,,,,6,1028,44,3,400,,1,,,,,,,,,,,,
swift_RB_CHI,D'Andre Swift,RB,CHI,,,,9,1121,36,1,325,,1,,,,,,,,,,,,
hampton_RB_LAC,Omarion Hampton,RB,LAC,,,,10,896,46,2,298,,1,,,,,,,,,,,,
williams_RB_DAL,Javonte Williams,RB,DAL,,,,11,1198,31,1,147,,2,,,,,,,,,,,,
williams_RB_LAR,Kyren Williams,RB,LAR,,,,9,1046,33,3,243,,2,,,,,,,,,,,,
love_RB_ARI,Jeremiyah Love,RB,ARI,,,,7,946,43,2,382,,3,,,,,,,,,,,,
hall_RB_NYJ,Breece Hall,RB,NYJ,,,,6,1014,40,2,370,,2,,,,,,,,,,,,
judkins_RB_CLE,Quinshon Judkins,RB,CLE,,,,10,973,37,0,243,,1,,,,,,,,,,,,
tuten_RB_JAX,Bhayshul Tuten,RB,JAX,,,,12,891,16,3,128,,3,,,,,,,,,,,,
montgomery_RB_HOU,David Montgomery,RB,HOU,,,,9,1014,27,0,213,,2,,,,,,,,,,,,
warren_RB_PIT,Jaylen Warren,RB,PIT,,,,5,836,40,2,316,,1,,,,,,,,,,,,
gainwell_RB_TB,Kenneth Gainwell,RB,TB,,,,4,536,60,2,438,,1,,,,,,,,,,,,
dowdle_RB_PIT,Rico Dowdle,RB,PIT,,,,7,834,36,1,252,,1,,,,,,,,,,,,
harvey_RB_DEN,RJ Harvey,RB,DEN,,,,6,530,45,4,332,,1,,,,,,,,,,,,
henderson_RB_NE,TreVeyon Henderson,RB,NE,,,,7,890,33,1,208,,1,,,,,,,,,,,,
price_RB_SEA,Jadarian Price,RB,SEA,,,,8,974,20,1,221,,3,,,,,,,,,,,,
pollard_RB_TEN,Tony Pollard,RB,TEN,,,,6,990,34,0,214,,3,,,,,,,,,,,,
